2	A true smile, the researchers found, involves a tightening of the muscles around the eyes, and a drooping of the skin around the eyebrow.
1	Open the door of the tavern and let us go there day and night, For I am sick and tired of the mosque and the seminary.
2	A man was waiting to buy a plant at the counter of an Upper West Side store when another approached asking for a $20 bill in exchange for four fives.
2	A friend of Suntory's owners, he will be the team's president and a stockholder.
3	That's why Mr. Dinkins, wearing a blue ribbon and supported by labor, religious and community groups, held a rally last night to urge tolerance.
1	It came at a tense time; the extension of the U.S.-Japan security treaty in 1960 had prompted weeks of huge demonstrations in Tokyo.
1	Unable to override, the lawmakers lunged for a flag-burning bill and grafted on an abortion section.
3	Even if things aren't equal, age, wine and the Marquis de Lafayette make a strong case for keeping the flag flying in Bordeaux.
2	The State Department deserves support, not subversion, from the White House.
1	The Radicals' defeat increases pressures for more inflationary economics and for populist posturing over the foreign debt.
1	But getting the bureaucracy to respond could take years.
1	That explanation merely shifts the blame for an intolerable mess to City Hall budgeteers.
2	Welcome to New York, replied the officer.
1	The nice word for Rumania's way is austerity; deprivation is more accurate.
3	More applause.
1	First, the bill was badly written.
1	In the heat of an auction or the dark of a barn - or even in a well lighted shop, however, the fakes are hard to spot.
2	They will dine on bamboo and catch a lot of z's.
1	But now the slow, humble car no longer appeals to an increasingly prosperous country.
2	British Airways says it needs to be bigger to compete on equal terms with giant U.S. carriers.
1	Adolf Hitler so feared Mickey's influence that he put him on a list of ''dangerous foreigners.''
2	Superintendent of Insurance  New York, March 9, 1988
1	It makes no sense to exempt commodities and securities frauds when these seem rampant.
2	Because the question involves changing the Constitution, it must go to a popular referendum in the fall.
2	The board is on the right track; the plan is flawed and the city would be unwise to try to revive it later.
2	By shifting an early October payday into late September, thus transferring the outlay from fiscal 1990 into fiscal 1989, which ends Sept. 30.
2	For this kind of conjunction has a name: syzygy, pronounced SIZ-a-jee.
1	With their states facing budget deficits that require higher taxes, Gov.
1	Spring wilted and simply surrendered to summer.
2	To the Editor: Larry Walden, a tobacco grower, says: ''It never occurs to me that I'm doing anything wrong.
2	How about the bus?
1	Either Dunkin' Donuts was talking about pastry that produces eggs, or the copywriters had a little problem with the difference between ''lie'' and ''lay.''
2	It has slowed spring down.
2	That's the message of the Senate Judiciary Committee, which confirms (and sometimes rejects) nominees for judgeships and high Justice posts.
2	This week New York City's Department of Investigation ruled that the dismissal was illegal and that Mr. Adams should be reinstated.
3	On his first day, he rode the gondola to the breathtaking summit of Aspen Mountain and stopped by the Sundeck restaurant.
2	Mr. Saito is the Japanese businessman whose purchase of ''Portrait of Dr. Gachet'' set a record for an artwork at auction on Tuesday night.
1	Meanwhile, Shannon was stamping her foot.
2	That's what lots of people thought, looking at his work.
2	For all, it's a new excuse to hurry back to the City of Light.
3	All was well at Cape Canaveral yesterday.
2	The father of a 3 1/2-year-old boy looked in on his son just after dawn one morning, expecting to find a sleeping innocent.
2	On the other hand, the Council presumably does not wish to embarrass the departing Mayor.
2	The city leases the stadium to the Mets and contracts with Kinney System Inc. to manage the lot.
1	A few days later, a man dining on Manhattan's Upper East Side was the victim of a restaurant rubout, a manner of murder that is distinctly, if not uniquely, New York.
2	But then Representative Vic Fazio of California, sensitive to the interests of fruit growers, tossed a monkey wrench.
1	Eventually a human operator comes on the line, and puts the caller on hold.
2	The Transit Authority has agreed to a pilot project that would set aside patrolled subway cars for students before and after school.
2	They sound all too human.
3	2. During the life of this nuptial agreement, I'll brag to the world about your achievements as a world-class skier, your qualities as a mother and your business acumen.
2	Others thought it said a lot about marriage - not just the Lennons' but the Smiths' and the Joneses' and a billion other folks'.
1	Mr. Macklowe, a big developer, planned to build a luxury hotel there, but would have been stymied by a city moratorium on tearing down S.R.O.'s that was scheduled to take effect 24 hours after his wreckers did their midnight mischief.
2	This season's miserable weather has been a kind of enchantment, requiring them to savor spring, change by change, instead of gulping it down.
3	But considering the uneven success of U.S. players adapting to the Japanese game, the unprecedented American sweep is one for the books.
2	Mayor Koch therefore proposes regulating street tows.
2	The agencies would be wiser to put America's best foot forward.
2	Although it could, in principle, be assembled into an explosive device, the separated plutonium would be of no interest to a nation for a nuclear weapon.
2	Though euphonious, it's a mnemonic that's vulnerable to change: there's a second flight of as many as seven other talked-about possibilities: Bradley, Boren, Celeste, Clinton, Cuomo, Nunn and Schroeder.
2	The coalition, founded in the wake of urban riots, sought to link cities' needs with private sector resources.
3	It took eight years, but there's finally a President in the White House who understands about trees.
2	With them it has acquired a fair number of well-off retirees, young couples with private incomes and the occasional writer.
2	And City Hall would do well to drop it and get on with the business of developing a comprehensive plan for disposing of solid waste.
0	The Straits of Dover were not stormy last week and winds reached no more than 20 miles an hour when the Herald of Free Enterprise tipped over and foundered with the loss of 134 lives.
2	When the New Yorker finally reached Chicago, the circumstances were no less miserable, but what a difference in attitude!
2	That's because growing trees convert carbon dioxide, which contributes to global warming - the greenhouse effect - into oxygen.
1	Then why the original haste to arrest?
2	Donations for these scholarships are tax-deductible, and may be sent to VASCA, 275 Seventh Avenue, New York, N.Y. 10001.
3	Knowing more about such patterns could help policy makers target resources and protect young lives.
1	At first, it refused outright, prompting a veto.
2	Carbon dioxide is the pollutant gas that traps the sun's heat as it builds up in the atmosphere and may in time change the climate.
2	Isn't a bagel just a bagel?
2	The committee meets today to hear witnesses for a non-binding resolution that would address those defects.
2	Experienced attorneys recruited by the nonprofit Volunteers of Legal Service travel to hospital bedsides to help people dying of AIDS prepare wills and living wills and resolve child guardianship issues.
2	The hand of regulation falls firmly on designers and operators of American vessels.
3	Now two former University of California professors, Moishe Shifrine and Randy Dorian, have copied the truffle in a laboratory, in all its scented glory.
2	The Louisiana Legislature left some 400 bills for Gov.
2	But rather than bother sorting them out, mainland America might try a simpler response.
